gateway          | 
gateway          | 2024-01-28T20:51:11.899Z  INFO 7 --- [nio-8080-exec-2]                                          : Client: localhost:8080, Method: POST, Path: /api/medical_office/login
gateway          | 2024-01-28T20:51:13.173Z  INFO 7 --- [nio-8080-exec-3]                                          : Client: localhost:8080, Method: POST, Path: /api/medical_office/login
gateway          | 2024-01-28T20:51:13.520Z  INFO 7 --- [nio-8080-exec-2]                                          : Method: POST, Path: /api/medical_office/login, Status: 200
gateway          | 2024-01-28T20:51:13.520Z  INFO 7 --- [nio-8080-exec-3]                                          : Method: POST, Path: /api/medical_office/login, Status: 200
gateway          | 2024-01-28T20:51:14.374Z  INFO 7 --- [nio-8080-exec-4]                                          : Client: localhost:8080, Method: OPTIONS, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T20:51:14.375Z  INFO 7 --- [nio-8080-exec-4]                                          : Method: OPTIONS, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T20:51:14.385Z  INFO 7 --- [nio-8080-exec-5]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T20:51:15.390Z  INFO 7 --- [nio-8080-exec-5]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T20:51:15.396Z  INFO 7 --- [nio-8080-exec-6]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T20:51:15.459Z  INFO 7 --- [nio-8080-exec-6]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T20:51:18.526Z  INFO 7 --- [nio-8080-exec-7]                                          : Client: localhost:8080, Method: OPTIONS, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T20:51:18.527Z  INFO 7 --- [nio-8080-exec-7]                                          : Method: OPTIONS, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T20:51:18.538Z  INFO 7 --- [nio-8080-exec-8]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T20:51:18.597Z  INFO 7 --- [nio-8080-exec-8]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T20:51:25.806Z  INFO 7 --- [nio-8080-exec-9]                                          : Client: localhost:8080, Method: OPTIONS, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T20:51:25.807Z  INFO 7 --- [nio-8080-exec-9]                                          : Method: OPTIONS, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T20:51:25.816Z  INFO 7 --- [io-8080-exec-10]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T20:51:25.874Z  INFO 7 --- [io-8080-exec-10]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T20:51:27.171Z  INFO 7 --- [nio-8080-exec-1]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T20:51:27.224Z  INFO 7 --- [nio-8080-exec-1]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T20:51:46.125Z  INFO 7 --- [nio-8080-exec-3]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T20:51:46.205Z  INFO 7 --- [nio-8080-exec-3]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T20:51:47.084Z  INFO 7 --- [nio-8080-exec-2]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T20:51:47.132Z  INFO 7 --- [nio-8080-exec-2]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T20:51:50.512Z  INFO 7 --- [nio-8080-exec-4]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
consult          | 2024-01-28T20:48:54.578Z  INFO 7 --- [           main] medical.consultations.Consultations      : Starting Consultations using Java 17.0.9 with PID 7 (/usr/src/app/consultatii-1.0-SNAPSHOT.jar started by root in /usr/src/app)
consult          | 2024-01-28T20:48:54.614Z  INFO 7 --- [           main] medical.consultations.Consultations      : No active profile set, falling back to 1 default profile: "default"
consult          | 2024-01-28T20:49:00.524Z  INFO 7 --- [           main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
consult          | 2024-01-28T20:49:00.819Z  INFO 7 --- [           main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 279 ms. Found 1 MongoDB repository interface.
consult          | 2024-01-28T20:49:03.969Z  INFO 7 --- [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8080 (http)
consult          | 2024-01-28T20:49:04.009Z  INFO 7 --- [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
gateway          | 2024-01-28T20:51:50.585Z  INFO 7 --- [nio-8080-exec-4]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
consult          | 2024-01-28T20:49:04.010Z  INFO 7 --- [           main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.17]
gateway          | 2024-01-28T20:52:31.406Z  INFO 7 --- [nio-8080-exec-6]                                          : Client: localhost:8080, Method: POST, Path: /api/medical_office/login
gateway          | 2024-01-28T20:52:31.438Z  INFO 7 --- [nio-8080-exec-6]                                          : Method: POST, Path: /api/medical_office/login, Status: 200
gateway          | 2024-01-28T20:52:46.471Z  INFO 7 --- [nio-8080-exec-8]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/patients/1111
gateway          | 2024-01-28T20:52:46.584Z  INFO 7 --- [nio-8080-exec-8]                                          : Method: GET, Path: /api/medical_office/patients/1111, Status: 200
gateway          | 2024-01-28T20:53:03.377Z  INFO 7 --- [io-8080-exec-10]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
consult          | 2024-01-28T20:49:04.130Z  INFO 7 --- [           main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
consult          | 2024-01-28T20:49:04.135Z  INFO 7 --- [           main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 8753 ms
consult          | 2024-01-28T20:49:04.725Z  INFO 7 --- [           main] org.mongodb.driver.client                : MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync", "version": "4.11.1"}, "os": {"type": "Linux", "name": "Linux", "architecture": "amd64", "version": "5.15.49-linuxkit"}, "platform": "Java/Amazon.com Inc./17.0.9+8-LTS"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='root', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@c386958, com.mongodb.Jep395RecordCodecProvider@157ec23b, com.mongodb.KotlinCodecProvider@44d64d4e]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[mongodb-medical:27017], srvServiceName=mongodb, mode=SINGLE, requiredClusterType=UNKNOWN, requiredReplicaSetName='null', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=false, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=UNSPECIFIED, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null}
consult          | 2024-01-28T20:49:04.795Z  INFO 7 --- [b-medical:27017] org.mongodb.driver.cluster               : Monitor thread successfully connected to server with description ServerDescription{address=mongodb-medical:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=88131320}
consult          | 2024-01-28T20:49:08.823Z  INFO 7 --- [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 8080 (http) with context path ''
consult          | 2024-01-28T20:49:08.899Z  INFO 7 --- [           main] medical.consultations.Consultations      : Started Consultations in 17.67 seconds (process running for 22.011)
gateway          | 2024-01-28T20:53:03.429Z  INFO 7 --- [io-8080-exec-10]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:03:11.669Z  INFO 7 --- [nio-8080-exec-3]                                          : Client: localhost:8080, Method: POST, Path: /api/medical_office/login
gateway          | 2024-01-28T21:03:11.712Z  INFO 7 --- [nio-8080-exec-3]                                          : Method: POST, Path: /api/medical_office/login, Status: 200
gateway          | 2024-01-28T21:03:12.970Z  INFO 7 --- [nio-8080-exec-2]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:03:13.033Z  INFO 7 --- [nio-8080-exec-2]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:03:13.043Z  INFO 7 --- [nio-8080-exec-4]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:03:13.087Z  INFO 7 --- [nio-8080-exec-4]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:03:49.017Z  INFO 7 --- [nio-8080-exec-5]                                          : Client: localhost:8080, Method: POST, Path: /api/medical_office/login
gateway          | 2024-01-28T21:03:49.050Z  INFO 7 --- [nio-8080-exec-5]                                          : Method: POST, Path: /api/medical_office/login, Status: 200
gateway          | 2024-01-28T21:03:50.175Z  INFO 7 --- [nio-8080-exec-7]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:03:50.219Z  INFO 7 --- [nio-8080-exec-7]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:03:50.225Z  INFO 7 --- [nio-8080-exec-6]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:03:50.272Z  INFO 7 --- [nio-8080-exec-6]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:06:00.465Z  INFO 7 --- [io-8080-exec-10]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:06:00.530Z  INFO 7 --- [io-8080-exec-10]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:06:00.542Z  INFO 7 --- [nio-8080-exec-1]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:06:00.592Z  INFO 7 --- [nio-8080-exec-1]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:11:54.562Z  INFO 7 --- [nio-8080-exec-4]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:11:54.624Z  INFO 7 --- [nio-8080-exec-4]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:11:55.418Z  INFO 7 --- [nio-8080-exec-5]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:11:55.474Z  INFO 7 --- [nio-8080-exec-5]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:11:56.850Z  INFO 7 --- [nio-8080-exec-7]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:11:56.898Z  INFO 7 --- [nio-8080-exec-7]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:11:57.621Z  INFO 7 --- [nio-8080-exec-6]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:11:57.672Z  INFO 7 --- [nio-8080-exec-6]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:26:16.604Z  INFO 7 --- [nio-8080-exec-9]                                          : Client: localhost:8080, Method: OPTIONS, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:26:16.605Z  INFO 7 --- [nio-8080-exec-9]                                          : Method: OPTIONS, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:26:16.612Z  INFO 7 --- [io-8080-exec-10]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:26:16.652Z  INFO 7 --- [io-8080-exec-10]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:26:16.658Z  INFO 7 --- [nio-8080-exec-1]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:26:16.702Z  INFO 7 --- [nio-8080-exec-1]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:27:05.613Z  INFO 7 --- [nio-8080-exec-3]                                          : Client: localhost:8080, Method: OPTIONS, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:27:05.614Z  INFO 7 --- [nio-8080-exec-3]                                          : Method: OPTIONS, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:27:05.623Z  INFO 7 --- [nio-8080-exec-2]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:27:05.675Z  INFO 7 --- [nio-8080-exec-2]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:27:05.727Z  INFO 7 --- [nio-8080-exec-4]                                          : Client: localhost:8080, Method: OPTIONS, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:27:05.728Z  INFO 7 --- [nio-8080-exec-4]                                          : Method: OPTIONS, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:27:05.736Z  INFO 7 --- [nio-8080-exec-5]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:27:05.769Z  INFO 7 --- [nio-8080-exec-5]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:27:05.842Z  INFO 7 --- [nio-8080-exec-7]                                          : Client: localhost:8080, Method: OPTIONS, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:27:05.842Z  INFO 7 --- [nio-8080-exec-7]                                          : Method: OPTIONS, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:27:05.848Z  INFO 7 --- [nio-8080-exec-6]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:27:05.884Z  INFO 7 --- [nio-8080-exec-6]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:27:09.575Z  INFO 7 --- [nio-8080-exec-8]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:27:09.629Z  INFO 7 --- [nio-8080-exec-8]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:27:09.797Z  INFO 7 --- [nio-8080-exec-9]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:27:09.850Z  INFO 7 --- [nio-8080-exec-9]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:27:10.000Z  INFO 7 --- [io-8080-exec-10]                                          : Client: localhost:8080, Method: OPTIONS, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:27:10.000Z  INFO 7 --- [io-8080-exec-10]                                          : Method: OPTIONS, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:27:10.007Z  INFO 7 --- [nio-8080-exec-1]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:27:10.040Z  INFO 7 --- [nio-8080-exec-1]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:27:21.609Z  INFO 7 --- [nio-8080-exec-2]                                          : Client: localhost:8080, Method: OPTIONS, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:27:21.610Z  INFO 7 --- [nio-8080-exec-2]                                          : Method: OPTIONS, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:27:21.617Z  INFO 7 --- [nio-8080-exec-4]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:27:21.699Z  INFO 7 --- [nio-8080-exec-4]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 500
gateway          | 2024-01-28T21:27:48.528Z  INFO 7 --- [nio-8080-exec-5]                                          : Client: localhost:8080, Method: OPTIONS, Path: /api/medical_office/login
gateway          | 2024-01-28T21:27:48.529Z  INFO 7 --- [nio-8080-exec-5]                                          : Method: OPTIONS, Path: /api/medical_office/login, Status: 200
gateway          | 2024-01-28T21:27:48.536Z  INFO 7 --- [nio-8080-exec-7]                                          : Client: localhost:8080, Method: POST, Path: /api/medical_office/login
gateway          | 2024-01-28T21:27:48.572Z  INFO 7 --- [nio-8080-exec-7]                                          : Method: POST, Path: /api/medical_office/login, Status: 200
gateway          | 2024-01-28T21:27:49.655Z  INFO 7 --- [nio-8080-exec-6]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:27:49.708Z  INFO 7 --- [nio-8080-exec-6]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:27:49.714Z  INFO 7 --- [nio-8080-exec-8]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:27:49.753Z  INFO 7 --- [nio-8080-exec-8]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:29:47.020Z  INFO 7 --- [nio-8080-exec-1]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:29:47.077Z  INFO 7 --- [nio-8080-exec-1]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
idm              | SLF4J: Defaulting to no-operation (NOP) logger implementation
idm              | SLF4J: See https://www.slf4j.org/codes.html#noProviders for further details.
idm              | Jan 28, 2024 8:48:53 PM medical.idm.IDMServer start
idm              | INFO: Database connection failed
idm              | SLF4J: No SLF4J providers were found.
idm              | SLF4J: Defaulting to no-operation (NOP) logger implementation
idm              | SLF4J: See https://www.slf4j.org/codes.html#noProviders for further details.
idm              | Jan 28, 2024 8:48:58 PM medical.idm.IDMServer start
idm              | INFO: Database connection failed
idm              | SLF4J: No SLF4J providers were found.
idm              | SLF4J: Defaulting to no-operation (NOP) logger implementation
idm              | SLF4J: See https://www.slf4j.org/codes.html#noProviders for further details.
idm              | Jan 28, 2024 8:49:02 PM medical.idm.IDMServer start
idm              | INFO: Connected to Database
idm              | Jan 28, 2024 8:49:03 PM medical.idm.IDMServer start
idm              | INFO: Server started
idm              | Jan 28, 2024 8:51:12 PM medical.idm.IDMServer$IdentityManagementService authorize
idm              | INFO: Authorization foradmin
idm              | Jan 28, 2024 8:51:13 PM medical.idm.IDMServer$IdentityManagementService authorize
idm              | INFO: Authorization foradmin
gateway          | 2024-01-28T21:29:48.800Z  INFO 7 --- [nio-8080-exec-3]                                          : Client: localhost:8080, Method: OPTIONS, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:29:48.800Z  INFO 7 --- [nio-8080-exec-3]                                          : Method: OPTIONS, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:29:48.806Z  INFO 7 --- [nio-8080-exec-2]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:29:48.842Z  INFO 7 --- [nio-8080-exec-2]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:29:51.853Z  INFO 7 --- [nio-8080-exec-4]                                          : Client: localhost:8080, Method: OPTIONS, Path: /api/medical_office/physicians/
gateway          | 2024-01-28T21:29:51.853Z  INFO 7 --- [nio-8080-exec-4]                                          : Method: OPTIONS, Path: /api/medical_office/physicians/, Status: 200
idm              | Jan 28, 2024 8:51:13 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 8:51:13 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 8:51:14 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
gateway          | 2024-01-28T21:29:51.862Z  INFO 7 --- [nio-8080-exec-5]                                          : Client: localhost:8080, Method: GET, Path: /api/medical_office/physicians/
idm              | Jan 28, 2024 8:51:15 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 8:51:18 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 8:51:25 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 8:51:27 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 8:51:46 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 8:51:47 PM medical.idm.IDMServer$IdentityManagementService validate
gateway          | 2024-01-28T21:29:51.897Z  INFO 7 --- [nio-8080-exec-5]                                          : Method: GET, Path: /api/medical_office/physicians/, Status: 200
gateway          | 2024-01-28T21:32:36.731Z  INFO 7 --- [nio-8080-exec-6]                                          : Client: localhost:8080, Method: POST, Path: /api/medical_office/login
idm              | INFO: Token validation
idm              | Jan 28, 2024 8:51:50 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 8:52:31 PM medical.idm.IDMServer$IdentityManagementService authorize
idm              | INFO: Authorization foradmin
idm              | Jan 28, 2024 8:52:31 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 8:52:46 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 8:53:03 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:03:11 PM medical.idm.IDMServer$IdentityManagementService authorize
idm              | INFO: Authorization foradmin
idm              | Jan 28, 2024 9:03:11 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:03:12 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:03:13 PM medical.idm.IDMServer$IdentityManagementService validate
idm              | INFO: Token validation
idm              | Jan 28, 2024 9:03:49 PM medical.idm.IDMServer$IdentityManagementService authorize
